"iid","is_male","age","field_of_study","field_of_study_category","undergrad_sch","median_SAT_of_undergrad_sch","tuition_of_undergrad_sch","race","importance_of_race","importance_of_religion","from","median_income_of_zipcode","income","goal_of_participating","freq_of_going_on_dates","freq_of_going_out","intended_career","intended_career_category","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","expectation_of_happiness_of_matches","expected_num_of_people_interested_in_me_out_of_twenty"
103,TRUE,26,"Business- MBA","Business/Econ/Finance","","","","European/Causasian-American",8,9,"Chicago","60,089","55,550.00","To meet new people","Twice a month","Several times a week","business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,6,5
104,TRUE,27,"chemistry","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",6,8,"Colorado","80,110","26,682.00","To meet new people","Once a month","Once a week","research in industry or academia","Academic/Research",8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7,8,3
105,TRUE,25,"law","Law","","","","Black/African American",1,1,"Texas","78,759","41,547.00","To meet new people","Almost never","Several times a week","Law","Lawyer",9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,5,1
106,TRUE,22,"Law","Law","","","","Latino/Hispanic American",1,3,"Texas","76,513","23,361.00","To say I did it","Almost never","Once a week","Law","Lawyer",2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3,5,2
107,TRUE,21,"Religion","History/Religion/Philosophy","","","","European/Causasian-American",1,1,"Ann Arbor, MI","48,331","74,893.00","Seemed like a fun night out","Twice a month","Several times a week","Teacher/Professor","Academic/Research",7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,6,3
108,TRUE,24,"Electrical Engineering","Engineering","","","","European/Causasian-American",1,1,"Spain","0","","Seemed like a fun night out","Several times a year","Once a week","Engineering","Engineer",7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2,5,2
109,TRUE,25,"Film","Film","","","","Asian/Pacific Islander/Asian-American",1,1,"Hong Kong","19,454","","Seemed like a fun night out","Twice a month","Several times a week","film","Creative Arts/Entertainment",2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,5,3
110,TRUE,28,"Film","Film","","","","European/Causasian-American",4,6,"Ann Arbor","48,334","52,804.00","To meet new people","Several times a year","Several times a week","Writer","Creative Arts/Entertainment",4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,6,3
111,TRUE,27,"Business","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",7,1,"Philippines","1,114","","To say I did it","Once a month","Several times a week","consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,9,1
112,FALSE,20,"Sociology","Social Science, Psychologist","","","","Other",1,1,"New Jersey","7,605","","Seemed like a fun night out","Once a week","Several times a week","Social work","Social Work",8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4,4
113,FALSE,21,"Economics","Business/Econ/Finance","","","","European/Causasian-American",3,8,"Milwaukee, Wisconsin","53,217","53,923.00","Seemed like a fun night out","Twice a month","Several times a week","What a question!","Undecided",5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,7,20
114,FALSE,20,"Economics, English","Business/Econ/Finance","","","","Black/African American",2,4,"New York","","","To meet new people","Almost never","Twice a month","",NA,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2,6,NA
115,FALSE,21,"psychology","Social Science, Psychologist","","","","European/Causasian-American",10,7,"brooklyn ny","11,214","27,094.00","Seemed like a fun night out","Once a month","Several times a week","psychologist","Psychologist",2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,3,12
116,FALSE,21,"political science","Political Science/International Affairs","","","","European/Causasian-American",4,1,"France","38,330","","Seemed like a fun night out","Several times a week","Several times a week","if only i knew","Undecided",5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,7,20
117,FALSE,21,"Economics, Sociology","Business/Econ/Finance","","","","European/Causasian-American",8,10,"Long Island, NY","11,021","57,213.00","Seemed like a fun night out","Once a week","Several times a week","Marketing, Advertising","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,6,4
119,FALSE,19,"Polish","Languages","","","","Latino/Hispanic American",5,2,"Puerto Rico","901","","Seemed like a fun night out","Once a week","Several times a week","lawyer/gov.position","Lawyer",8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,15
120,FALSE,20,"English","English/Creative Writing/ Journalism","","","","Latino/Hispanic American",1,4,"Long Island, NY","11,778","42,390.00","To say I did it","Twice a month","Once a week","Writer","Creative Arts/Entertainment",5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3,5
121,FALSE,21,"psychology and english","Social Science, Psychologist","","","","European/Causasian-American",8,1,"Memphis, TN","38,119","43,636.00","To say I did it","Almost never","Several times a week","no idea, maybe a professor","Academic/Research",2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,2,0
122,TRUE,22,"Law","Law","","","","Other",1,1,"Long Island","11,793","57,887.00","Seemed like a fun night out","Once a week","Several times a week","Lawyer","Lawyer",7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4,6,10
123,TRUE,18,"Biomedical Engineering","Engineering","","","","Asian/Pacific Islander/Asian-American",3,5,"Louisiana","70,605","30,768.00","To meet new people","Once a month","Several times a week","Cardiologist","Doctor/Medicine",9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5,5,1
124,TRUE,22,"Economics and Political Science","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",1,1,"Maryland","20,815","66,699.00","To meet new people","Twice a month","Several times a week","Law or finance","Lawyer",5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,10
125,TRUE,21,"Art History/medicine","Medical Science, Pharmaceuticals, and Bio Tech","","","","European/Causasian-American",3,1,"Staten Island","10,306","45,360.00","Seemed like a fun night out","Once a week","Several times a week","Pediatrics","Doctor/Medicine",3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6,4
126,TRUE,22,"philosophy","History/Religion/Philosophy","","","","European/Causasian-American",7,5,"New York, NY","10,021","55,080.00","Looking for a serious relationship","Several times a year","Once a week","medicine","Doctor/Medicine",10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5
127,TRUE,22,"Mechanical Engineering","Engineering","","","","European/Causasian-American",1,1,"Massachusetts","1,720","","Other","Once a month","Several times a week","Porn Star","Creative Arts/Entertainment",10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20
128,TRUE,21,"Engineering","Engineering","","","","European/Causasian-American",3,1,"Connecticut","6,880","","Seemed like a fun night out","Once a week","Twice a week","Mechanical Engineering","Engineer",8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,13
129,TRUE,NA,"Economics","Business/Econ/Finance","","","","European/Causasian-American",1,1,"New Jersey","7,936","","To get a date","Once a week","Once a week","entrepeneur","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10,10
130,TRUE,20,"Engineering","Engineering","","","","Asian/Pacific Islander/Asian-American",4,1,"India, Holland","","","Seemed like a fun night out","Several times a year","Twice a week","don't know","Undecided",7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,6,1
131,TRUE,19,"Computer Science","Engineering","","","","Asian/Pacific Islander/Asian-American",4,1,"New York","10,002","17,378.00","To meet new people","Almost never","Once a week","Not Sure","Undecided",5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,0
132,FALSE,27,"Finance","Business/Econ/Finance","","","","European/Causasian-American",10,1,"Los Angeles","96,822","40,375.00","Seemed like a fun night out","Almost never","Twice a week","Asset Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,NA
133,FALSE,24,"electrical engineering","Engineering","","","","Asian/Pacific Islander/Asian-American",8,6,"china","519,000","","Seemed like a fun night out","Several times a year","Once a month","a research position","Academic/Research",8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,NA
134,FALSE,23,"marine geophysics","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",8,10,"Pougkeepsie NY","12,590","48,929.00","Seemed like a fun night out","Once a month","Once a week","professor","Academic/Research",7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,NA
135,FALSE,26,"theory","Social Science, Psychologist","","","","European/Causasian-American",9,6,"sofia, bg","","","Seemed like a fun night out","Almost never","Twice a week","teaching","Academic/Research",3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6,NA
136,FALSE,NA,"",NA,"","","",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,TRUE,26,"Business","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",1,1,"New York","11,020","78,193.00","Seemed like a fun night out","Twice a month","Several times a week","Real Estate","Real Estate",6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,NA
138,TRUE,32,"MBA","Business/Econ/Finance","","","","European/Causasian-American",9,6,"Greenwich, CT","10,803","63,351.00","Seemed like a fun night out","Once a week","Twice a week","investment banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,NA
139,TRUE,37,"engineering","Engineering","","","","Asian/Pacific Islander/Asian-American",6,1,"Taiwan","10,025","","Seemed like a fun night out","Several times a year","Once a week","engineering professional","Academic/Research",7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8,NA
140,TRUE,29,"MBA","Business/Econ/Finance","","","","European/Causasian-American",5,5,"Europe","10,025","","Seemed like a fun night out","Once a month","Twice a week","Investment Banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,NA
141,TRUE,28,"MBA","Business/Econ/Finance","","","","Latino/Hispanic American",4,4,"Colombia","","","Seemed like a fun night out","Several times a year","Twice a week","MBA","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4,NA
142,FALSE,24,"political science","Political Science/International Affairs","","","","European/Causasian-American",1,4,"california","92,075","50,745.00","Seemed like a fun night out","Once a month","Twice a week","professor","Academic/Research",5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,NA
143,FALSE,33,"Law","Law","","","","European/Causasian-American",6,2,"Albania","10,027","","To meet new people","Almost never","Twice a month","law","Lawyer",4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,NA
144,FALSE,23,"Nutrition/Genetics","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",5,2,"PA","16,510","29,279.00","Seemed like a fun night out","Once a month","Twice a week","research","Academic/Research",10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,5,NA
145,FALSE,24,"Neuroscience","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",9,7,"Minnesota","55,379","38,774.00","To meet new people","Almost never","Several times a week","Neuroscientist/Professor","Academic/Research",2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,5,NA
146,FALSE,36,"Comparative Literature","English/Creative Writing/ Journalism","","","","European/Causasian-American",1,7,"New York","19,087","58,802.00","Looking for a serious relationship","Almost never","Several times a week","Education","Academic/Research",5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3,5,NA
147,FALSE,26,"Business","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",3,3,"New York","10,014","41,831.00","To say I did it","Once a month","Several times a week","Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,5,NA
148,FALSE,27,"Business","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",7,4,"Cherry Hill, NJ","8,034","","To say I did it","Twice a month","Several times a week","Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,5,NA
149,FALSE,28,"International Relations","Political Science/International Affairs","","","","European/Causasian-American",3,3,"Minneapolis","55,331","52,186.00","Seemed like a fun night out","Once a month","Twice a week","Professor and Government Official","Academic/Research",8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,4,NA
150,FALSE,31,"History of Religion","History/Religion/Philosophy","","","","European/Causasian-American",3,3,"NYC","10,021","55,080.00","Looking for a serious relationship","Once a month","Twice a week","professor","Academic/Research",5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10,5,NA
151,FALSE,28,"international affairs - economic development","Political Science/International Affairs","","","","European/Causasian-American",1,2,"ottawa, canada","","","To get a date","Once a week","Several times a week","international development work","International/Humanitarian Affairs",5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,3,NA
152,FALSE,27,"Political Science","Political Science/International Affairs","","","","Asian/Pacific Islander/Asian-American",2,3,"China","0","","Seemed like a fun night out","Twice a month","Once a week","professor","Academic/Research",4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1,5,NA
153,FALSE,28,"Modern Chinese Literature","History/Religion/Philosophy","","","","Asian/Pacific Islander/Asian-American",1,1,"China","136,300","","To meet new people","Several times a year","Once a week","professor","Academic/Research",8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,6,NA
154,FALSE,27,"MBA","Business/Econ/Finance","","","","European/Causasian-American",8,3,"NYC","22,066","97,857.00","Other","Twice a month","Several times a week","finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,7,NA
155,FALSE,27,"business","Business/Econ/Finance","","","","European/Causasian-American",5,1,"Philadelphia, PA","19,041","74,624.00","To meet new people","Once a month","Several times a week","Nonprofit","International/Humanitarian Affairs",2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,3,NA
156,FALSE,30,"Business","Business/Econ/Finance","","","","Black/African American",1,1,"Atlanta, GA","27,870","21,590.00","To meet new people","Several times a year","Once a week","Marketing and Media","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,NA
157,FALSE,28,"Business, marketing","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",5,3,"Cleveland","44,147","38,832.00","Seemed like a fun night out","Several times a year","Several times a week","Brand Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,4,NA
158,TRUE,23,"physics (astrophysics)","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",3,4,"NYC (Staten Island)","10,301","37,248.00","Looking for a serious relationship","Several times a year","Twice a week","physicist, probably academia","Academic/Research",2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,7,NA
159,TRUE,28,"Physics","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",7,2,"Greece","","","Seemed like a fun night out","Several times a year","Twice a week","Academic","Academic/Research",7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,NA
160,TRUE,29,"Business/ Finance/ Real Estate","Business/Econ/Finance","","","","Black/African American",3,4,"North Carolina","28,387","28,240.00","To meet new people","Once a month","Twice a week","Real Estate/ Private Equity","Real Estate",9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,NA
161,TRUE,22,"Biochemistry","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",6,2,"State College, PA","15,668","53,771.00","To meet new people","Twice a month","Twice a week","undecided","Undecided",9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,NA
162,TRUE,27,"Biochemistry","Biological Sciences/Chemistry/Physics","","","","Asian/Pacific Islander/Asian-American",1,1,"Canada","","","To meet new people","Several times a year","Twice a week","pharmaceuticals and biotechnology","Doctor/Medicine",3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,NA
163,TRUE,26,"Art Education","Education, Academia","","","","European/Causasian-American",1,1,"Minnesota","55,391","56,096.00","Looking for a serious relationship","Once a week","Once a week","college art teacher","Academic/Research",6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,NA
164,TRUE,27,"Philosophy","History/Religion/Philosophy","","","","European/Causasian-American",1,1,"Los Angeles","90,291","31,560.00","Seemed like a fun night out","Several times a year","Twice a week","academic","Academic/Research",7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,NA
165,TRUE,30,"American Studies (Masters)","Political Science/International Affairs","","","","European/Causasian-American",4,7,"Detroit","48,070","52,467.00","To get a date","Several times a year","Once a week","Writer","Creative Arts/Entertainment",3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,NA
166,TRUE,26,"Business","Business/Econ/Finance","","","","Other",1,9,"Washington DC Metro Region","20,817","80,006.00","To say I did it","Once a month","Twice a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,NA
167,TRUE,23,"biology","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",1,1,"colorado","80,005","47,572.00","To meet new people","Several times a year","Twice a week","professor","Academic/Research",9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,NA
168,TRUE,23,"Cell Biology","Biological Sciences/Chemistry/Physics","","","","Asian/Pacific Islander/Asian-American",1,1,"Berkeley, CA","90,031","22,439.00","Seemed like a fun night out","Twice a month","Twice a week","TBA","Undecided",5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,5,NA
169,TRUE,28,"Microbiology","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",2,3,"Buffalo, NY","14,227","31,383.00","To meet new people","Several times a year","Twice a week","Research scientist, professor","Academic/Research",10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,6,NA
170,TRUE,28,"Biochemistry","Biological Sciences/Chemistry/Physics","","","","Asian/Pacific Islander/Asian-American",2,1,"India","","","Seemed like a fun night out","Once a month","Once a week","Physician Scientist","Doctor/Medicine",2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,6,NA
171,TRUE,29,"Finance","Business/Econ/Finance","","","","European/Causasian-American",1,1,"France","75,015","","Seemed like a fun night out","Twice a month","Twice a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,8,NA
172,TRUE,27,"Business","Business/Econ/Finance","","","","European/Causasian-American",5,7,"London, England","","","Seemed like a fun night out","Once a week","Several times a week","Management Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,5,NA
173,TRUE,22,"math","Math","","","","European/Causasian-American",5,7,"NJ","8,536","","Seemed like a fun night out","Twice a month","Several times a week","professor","Academic/Research",10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,NA
174,FALSE,29,"International Affairs/Finance","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",1,1,"Pennsylvania","19,087","58,802.00","Looking for a serious relationship","Once a month","Once a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,NA
175,FALSE,23,"International Affairs","Political Science/International Affairs","","","","Other",5,8,"Ohio","43,220","40,749.00","To meet new people","Once a week","Several times a week","Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,2,6,8,7,7,3,3,6,6,5,6,5,6,9,5,3,7,NA
176,FALSE,28,"MBA","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",10,1,"California","92,602","","To meet new people","Several times a year","Once a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,6,5,10,10,9,7,4,4,5,5,8,8,8,8,6,3,7,NA
177,FALSE,22,"international affairs/international finance","Political Science/International Affairs","","","","European/Causasian-American",8,3,"San Diego, CA","92,120","47,997.00","To meet new people","Once a month","Twice a week","management consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,9,6,8,6,4,2,3,7,9,7,6,7,3,4,5,1,6,NA
178,FALSE,35,"Health policy","Social Science, Psychologist","","","","Asian/Pacific Islander/Asian-American",5,5,"New York","","","To meet new people","Twice a month","Twice a week","health policy","Doctor/Medicine",3,4,7,9,8,8,8,2,9,8,8,8,8,8,9,6,8,5,NA
179,FALSE,30,"English and Comp Lit","English/Creative Writing/ Journalism","","","","Latino/Hispanic American",5,1,"California","91,011","78,704.00","Seemed like a fun night out","Several times a year","Once a week","academics","Academic/Research",5,5,10,10,7,7,5,1,7,10,1,8,8,7,9,10,9,2,NA
180,FALSE,24,"international finance and business","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",2,2,"taiwan","8,820","","Other","Twice a month","Twice a week","financial service or fashion","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,7,5,9,5,5,8,5,9,6,7,9,9,7,8,9,7,6,NA
181,FALSE,22,"Sociomedical Sciences- School of Public Health","Medical Science, Pharmaceuticals, and Bio Tech","","","","Black/African American",7,8,"Brooklyn, NY","11,217","31,143.00","Seemed like a fun night out","Once a month","Once a month","academic research","Academic/Research",3,6,5,9,9,9,6,3,9,9,9,9,9,9,9,9,6,4,NA
182,FALSE,22,"Epidemiology","Medical Science, Pharmaceuticals, and Bio Tech","","","","Black/African American",7,5,"New Jersey","8,904","","Seemed like a fun night out","Twice a month","Once a week","Epidemiologist","Doctor/Medicine",5,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,6,NA
183,FALSE,24,"Social work","Social Work","","","","European/Causasian-American",1,1,"Uzbekistan","703,007","","Seemed like a fun night out","Almost never","Once a week","boxing champ","Creative Arts/Entertainment",9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,5,NA
184,TRUE,34,"International Business","Business/Econ/Finance","","","","European/Causasian-American",1,1,"Nebraska","68,005","32,129.00","To meet new people","Twice a month","Twice a week","International Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,9,NA
185,TRUE,25,"Statistics","Math","","","","Asian/Pacific Islander/Asian-American",3,4,"Queens","8,854","","Seemed like a fun night out","Almost never","Twice a month","Paper Back Writer","Creative Arts/Entertainment",8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,6,NA
186,TRUE,24,"Medical Informatics","Engineering","","","","Asian/Pacific Islander/Asian-American",4,3,"Kansas","66,610","44,195.00","Seemed like a fun night out","Almost never","Once a week","Professor","Academic/Research",5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,7,NA
187,TRUE,26,"International Finance, Economic Policy","Business/Econ/Finance","","","","European/Causasian-American",10,5,"nyc","","","To meet new people","Twice a month","Several times a week","finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,6,NA
188,TRUE,21,"electrical engineering","Engineering","","","","European/Causasian-American",1,1,"Atlanta","30,092","46,837.00","To meet new people","Once a week","Several times a week","academician","Academic/Research",2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,6,NA
189,TRUE,27,"Law and Social Work","Law","","","","Other",6,1,"Uruguay","11,500","","Seemed like a fun night out","Several times a year","Twice a week","Child Rights","International/Humanitarian Affairs",8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,5,NA
190,TRUE,25,"International Development","Political Science/International Affairs","","","","European/Causasian-American",1,1,"Azerbaijan","370,138","","To meet new people","Almost never","Once a week","Development work on field in the middle of nowhere","International/Humanitarian Affairs",7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8,NA
191,TRUE,28,"Business","Business/Econ/Finance","","","","European/Causasian-American",6,1,"Connecticut","6,878","","To say I did it","Twice a month","Twice a week","Private Equity","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,4,NA
192,TRUE,24,"Business/Law","Business/Econ/Finance","","","","European/Causasian-American",2,7,"Los Angeles, CA","90,210","97,972.00","Seemed like a fun night out","Several times a year","Twice a week","Investment Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,4,NA
193,TRUE,25,"law","Law","","","","Asian/Pacific Islander/Asian-American",2,2,"new york city","11,419","35,960.00","Seemed like a fun night out","Several times a year","Twice a week","lawyer","Lawyer",8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,4,NA
194,FALSE,24,"Clinical Psychology","Social Science, Psychologist","","","","European/Causasian-American",9,9,"New York","11,803","65,708.00","To get a date","Once a week","Twice a week","Psychologist","Psychologist",8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,7,NA
195,FALSE,27,"microbiology","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",3,9,"Rochester, NY","14,526","49,466.00","Seemed like a fun night out","Twice a week","Several times a week","professional student","Academic/Research",7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8,NA
196,FALSE,25,"Religion, GSAS","History/Religion/Philosophy","","","","Asian/Pacific Islander/Asian-American",1,6,"Taipei, Taiwan","","","Seemed like a fun night out","Several times a week","Several times a week","education","Academic/Research",3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,6,NA
197,FALSE,24,"International Affairs and Public Health","Political Science/International Affairs","","","","Other",2,1,"Berkeley","92,064","53,229.00","Seemed like a fun night out","Twice a month","Once a week","Development work","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3,NA
198,FALSE,23,"International affairs","Political Science/International Affairs","","","","Asian/Pacific Islander/Asian-American",8,5,"China","10,025","","To meet new people","Twice a week","Once a week","investment banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,6,NA
199,FALSE,30,"History","History/Religion/Philosophy","","","","European/Causasian-American",2,1,"New York","10,012","32,649.00","Looking for a serious relationship","Once a month","Once a week","Historian","Academic/Research",8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,4,NA
200,FALSE,25,"Business and International Affairs (MBA/MIA Dual Degree)","Business/Econ/Finance","","","","European/Causasian-American",1,1,"Northern California","95,404","35,867.00","Seemed like a fun night out","Almost never","Twice a week","International Development","International/Humanitarian Affairs",10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,5,NA
201,FALSE,25,"QMSS","Business/Econ/Finance","","","","European/Causasian-American",8,8,"New York","7,726","","Seemed like a fun night out","Twice a month","Twice a week","Business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,2,NA
202,FALSE,22,"Mathematics","Math","","","","European/Causasian-American",8,5,"Silver Spring, MD","20,903","40,244.00","To meet new people","Several times a year","Twice a week","college professor","Academic/Research",8,8,9,7,6,4,4,1,6,8,7,7,9,6,7,7,1,3,NA
